country,continent,site_name,pop_den,month_start,year_start,month_end,year_end,examined,pf_pos,pf_pr,pf_pa,method,gdpvl,Roq1,Roq2,Roq3,Roq4,R0G0qt1,permissions_info,source_id1,title1,citation1,source_id2,title2,citation2
Angola,Africa,Kilamba Kiazi,2129.02,6,1989,6,1989,50,16,0.315,1,Microscopy,NA,0.635,0.736,0.997,0.69,0.959,NA,680,RBM Complex emergency malaria data base: Angola. World Health Organisation (WHO/CDS/RBM/January 2001). Report of parasite survey cited without details in report.,"Webster, J. (2001). <i>RBM Complex emergency malaria data base: Angola. World Health Organisation (WHO/CDS/RBM/January 2001). Report of parasite survey cited without details in report.</i> . Geneva. World Health Organization/Roll Back Malaria. 1-31",NA,,
Angola,Africa,Ave Maria,16.31,11,2005,11,2005,111,82,0.7387,1,RDT,4310.76,0.645,0.714,0.999,0.962,0.965,NA,944,The MENTOR Initiative malaria survey,"Matsumoto, A. (2006). <i>The MENTOR Initiative malaria survey.</i> . Angola. ",NA,,
Angola,Africa,Kinzau (Mafinda and Ngoma),2.87,4,2006,4,2006,197,102,0.5178,1,RDT,5028.17,0.661,0.908,0.78,0.933,0.966,NA,944,The MENTOR Initiative malaria survey,"Matsumoto, A. (2006). <i>The MENTOR Initiative malaria survey.</i> . Angola. ",NA,,
Benin,Africa,Cotonou - Unspecified Schools,9412.62,1,1987,2,1987,353,80,0.2266,1,Microscopy,NA,0.687,0.982,0.635,0.406,0.97,NA,3644,Surveillance de la chimiosensibilite de Plasmodium falciparum aux antimalariques en Afrique de l'Ouest, (1987). <i>Surveillance de la chimiosensibilite de <i>Plasmodium falciparum</i> aux antimalariques en Afrique de l'Ouest.</i> . . ,5434,http://mara-database.org/mara/, (2010). <b>http://mara-database.org/mara/.</b> . MARA/ARMA.
Benin,Africa,Abomey,815.66,7,1987,7,1987,770,155,0.2013,1,Microscopy,NA,0.759,0.378,0.803,1,0.981,NA,429,Low levels of chloroquine resistance of Plasmodium falciparum in the province of Zou in Benin,"Djivoh, C., Massougbodji, A., Turk, P., Fayomi, E.B., Gay, F. and Danis, M. (1988).  <b>Low levels of chloroquine resistance of <i>Plasmodium falciparum</i> in the province of Zou in Benin.</b> <i>Bulletin de la Société de Pathologie Exotique</i>, <b>81</b>(3):332-7",NA,,
Benin,Africa,Ouesse,16.77,7,1987,7,1987,340,62,0.1824,1,Microscopy,NA,0.607,0.296,0.803,1,0.949,NA,429,Low levels of chloroquine resistance of Plasmodium falciparum in the province of Zou in Benin,"Djivoh, C., Massougbodji, A., Turk, P., Fayomi, E.B., Gay, F. and Danis, M. (1988).  <b>Low levels of chloroquine resistance of <i>Plasmodium falciparum</i> in the province of Zou in Benin.</b> <i>Bulletin de la Société de Pathologie Exotique</i>, <b>81</b>(3):332-7",NA,,
Benin,Africa,Agbalilame,2081.38,6,1989,7,1989,289,241,0.8339,1,Microscopy,NA,0.982,0.635,0.822,0.966,0.788,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Atcherigbe,19.78,6,1989,7,1989,142,132,0.9296,1,Microscopy,NA,0.987,0.579,0.822,0.966,0.675,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Cotonou (Port),9412.62,6,1989,7,1989,1364,1103,0.8087,1,Microscopy,NA,0.982,0.635,0.822,0.966,0.788,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Ganvie,282.34,6,1989,7,1989,238,196,0.8235,1,Microscopy,NA,0.406,0.522,0.822,0.966,0.788,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Gbeto,9412.62,6,1989,7,1989,290,187,0.6448,1,Microscopy,NA,0.966,0.579,0.781,0.944,0.731,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Ketonou,4536.52,6,1989,7,1989,291,247,0.8488,1,Microscopy,NA,0.993,0.661,0.842,0.982,0.844,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Ladji,4536.36,6,1989,7,1989,253,232,0.917,1,Microscopy,NA,0.982,0.635,0.822,0.966,0.788,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Setto,25.63,6,1989,7,1989,142,132,0.9296,1,Microscopy,NA,0.803,0.966,0.803,0.966,0.655,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Cotonou - Guezo Camp,9412.62,7,1989,7,1989,152,29,0.1908,1,Microscopy,NA,0.635,0.406,0.687,0.982,0.959,NA,598,In vivo amodiaquine sensitivity of Plasmodium falciparum in the town of Cotonou and in the vicinity (Bénin),"Raccurt, C.P., Arouko, H., Djossou, F., Macaigne, F., Massougbodji, A., Zohoun, T., Sadeler, B.C. and Ripert, C. (1990).  <b>In vivo amodiaquine sensitivity of <i>Plasmodium falciparum</i> in the town of Cotonou and in the vicinity (Bénin).</b> <i>Médecine Tropicale: Revue du Corps de Santé Colonial</i>, <b>50</b>(1):21-6",NA,,
Benin,Africa,Ekpe,721.44,7,1989,7,1989,448,135,0.3013,1,Microscopy,NA,0.635,0.406,0.687,0.982,0.959,NA,598,In vivo amodiaquine sensitivity of Plasmodium falciparum in the town of Cotonou and in the vicinity (Bénin),"Raccurt, C.P., Arouko, H., Djossou, F., Macaigne, F., Massougbodji, A., Zohoun, T., Sadeler, B.C. and Ripert, C. (1990).  <b>In vivo amodiaquine sensitivity of <i>Plasmodium falciparum</i> in the town of Cotonou and in the vicinity (Bénin).</b> <i>Médecine Tropicale: Revue du Corps de Santé Colonial</i>, <b>50</b>(1):21-6",NA,,
Benin,Africa,Agbalilame,2081.38,10,1989,11,1989,243,135,0.5556,1,Microscopy,NA,0.406,0.522,0.406,0.687,0.995,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Atcherigbe,19.78,10,1989,11,1989,128,109,0.8516,1,Microscopy,NA,0.296,0.324,0.148,0.661,0.996,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Cotonou (Port),9412.62,10,1989,11,1989,823,473,0.5747,1,Microscopy,NA,0.406,0.522,0.406,0.687,0.995,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Gbeto,9412.62,10,1989,11,1989,292,151,0.5171,1,Microscopy,NA,0.351,0.494,0.378,0.661,0.992,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Ketonou,4536.52,10,1989,11,1989,144,91,0.6319,1,Microscopy,NA,0.466,0.551,0.466,0.711,0.996,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Ladji,4536.52,10,1989,11,1989,144,101,0.7014,1,Microscopy,NA,0.406,0.522,0.406,0.687,0.995,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Setto,25.63,12,1989,12,1989,128,109,0.8516,1,Microscopy,NA,0.269,0.296,0.269,0.296,0.983,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Agbalilame,2081.38,3,1990,4,1990,196,164,0.8367,1,Microscopy,1920.9,0.522,0.822,0.966,0.406,0.896,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Atcherigbe,19.78,3,1990,4,1990,123,103,0.8374,1,Microscopy,1247.01,0.324,0.822,0.966,0.296,0.704,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Cotonou (Port),9412.62,3,1990,4,1990,1002,729,0.7275,1,Microscopy,1920.9,0.522,0.822,0.966,0.406,0.896,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Ganvie,282.34,3,1990,4,1990,179,129,0.7207,1,Microscopy,1920.9,0.522,0.822,0.966,0.406,0.896,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Gbeto,9412.62,3,1990,4,1990,252,144,0.5714,1,Microscopy,1920.9,0.494,0.781,0.944,0.351,0.873,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Ketonou,4536.52,3,1990,4,1990,178,141,0.7921,1,Microscopy,1520.52,0.551,0.842,0.982,0.466,0.917,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Ladji,4536.52,3,1990,4,1990,197,152,0.7716,1,Microscopy,1920.9,0.522,0.822,0.966,0.406,0.896,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Setto,25.63,3,1990,4,1990,123,103,0.8374,1,Microscopy,1247.01,0.296,0.803,0.966,0.269,0.675,NA,363,"Malaria transmission in the lagoon area of Cotonou, Benin.","Akogbeto, M., Modiano, D. and Bosman, A. (1992).  <b>Malaria transmission in the lagoon area of Cotonou, Benin.</b> <i>Parassitologia</i>, <b>34</b>(1-3):147-54",NA,,
Benin,Africa,Awansori (Toweta 1) ,825.95,2,2003,12,2004,637,299,0.4694,1,Microscopy,1690.92,0.607,0.944,0.842,0.324,0.949,NA,4956,"Malaria morbidity in children living in Lagoon area on the coast of Benin, West Africa: Determining factors and implications for malaria control [MIM16692495]","Nahum, A., Erhart, A., Maye, A., Ahounou, D., van Overmeir, C., Menten, J., van Loen, H., Akogbeto, M., Coosemans, M., Massougbodji, A. and D'Alessandro, U. (2009). <i>Malaria morbidity in children living in Lagoon area on the coast of Benin, West Africa: Determining factors and implications for malaria control [MIM16692495].</i> In: Fifth MIM Pan-African Malaria Conference. Nairobi. 455.",5600,Personal communication from A.Nahum,"Nahum, A. and D'Alessandro, U., . (2009) personal communication."
